Organization,Tier,Decision-Maker,Title,Email,LinkedIn,Phone,Status,LinkedIn-Connected,Email-Sent,Date-Sent,Response-Status,Demo-Scheduled,Demo-Date,Demo-Notes,Commitment-Status,Notes,Priority
GiveDirectly,NGO,Piali Mukhopadhyay,Founder & President,[research],[research],[research],research-phase,pending,pending,TBD,pending,pending,TBD,"","pending","Strong alignment with transparency mission; 500K+ donor base = viral potential",1
Open Society Foundations,NGO,[TBD],[TBD],[research],[research],[research],research-phase,pending,pending,TBD,pending,pending,TBD,"","pending","Need to ID right decision-maker in digital trust; test impact investing angle",1
Médecins Sans Frontières,NGO,Christopher Stokes / Comms Lead,President / Head of Communications,[research],[research],[research],research-phase,pending,pending,TBD,pending,pending,TBD,"","pending","Conflict zone angle = life-or-death trust; high news value",1
The Verge,Media,Nilay Patel,Editor-in-Chief,[research],[research],[research],research-phase,pending,pending,TBD,pending,pending,TBD,"","pending","Tech audience understands AI risk; first media publisher angle",2
Substack,Media,Chris Best / Creator Network,[TBD],[research],[research],[research],research-phase,pending,pending,TBD,pending,pending,TBD,"","pending","Either platform partnership OR influencer co-pilot angle; FOMO-friendly",2
Stripe,Tech,Patrick Collison / Partnerships Lead,Co-founder/Co-CEO / Head of Partnerships,[research],[research],[research],research-phase,pending,pending,TBD,pending,pending,TBD,"","pending","Payment authority = natural fit; Stripe Connect integration opportunity",1
Stanford Human Flourishing,Education,Jim Pitkow,Director,[research],[research],[research],research-phase,pending,pending,TBD,pending,pending,TBD,"","pending","Research partnership angle; academic credibility; 3-6 month timeline",2
Allbirds,Brand,Joey Zwillinger / Marketing Lead,Co-founder/Co-CEO / Head of Brand,[research],[research],[research],research-phase,pending,pending,TBD,pending,pending,TBD,"","pending","Sustainability proof angle; B Corp certified; fast decision-maker",2
Patagonia,Brand,[TBD],"Chief Purpose Officer / Innovation Lead",[research],[research],[research],research-phase,pending,pending,TBD,pending,pending,TBD,"","pending","Gold standard angle; could SET industry standard; 12-18 month timeline",2
Center for Humane Technology,Quick-Win,Tristan Harris,Founder/Director,[research],[research],[research],research-phase,pending,pending,TBD,pending,pending,TBD,"","pending","Backup; mission-aligned; likely responsive",3
Mozilla Foundation,Quick-Win,[TBD],Innovation/Partnerships Lead,[research],[research],[research],research-phase,pending,pending,TBD,pending,pending,TBD,"","pending","Backup; open standard angle; strong network",3
